marker,chr,pos,trait,gene,lod,threshold,iteration,var_exp,eff_size,ci_l_marker,ci_l_pos,ci_r_marker,ci_r_pos
I_863357,I,863357,A_12_P104472,sqst-5,0.036193558092160336,3.77,1,NA,NA,NA,NA,NA,NA
I_863911,I,863911,A_12_P104472,sqst-5,0.005611078642531242,3.77,1,NA,NA,NA,NA,NA,NA
I_865340,I,865340,A_12_P104472,sqst-5,0.005611078642531242,3.77,1,NA,NA,NA,NA,NA,NA
I_866896,I,866896,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_867720,I,867720,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_868905,I,868905,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_875410,I,875410,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_892612,I,892612,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_895895,I,895895,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_897038,I,897038,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_902306,I,902306,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_904446,I,904446,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_904880,I,904880,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_917584,I,917584,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_920051,I,920051,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_923181,I,923181,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_938920,I,938920,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_946888,I,946888,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_952449,I,952449,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_965370,I,965370,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_967082,I,967082,A_12_P104472,sqst-5,0.012437246966456749,3.77,1,NA,NA,NA,NA,NA,NA
I_977470,I,977470,A_12_P104472,sqst-5,0.033336881872380854,3.77,1,NA,NA,NA,NA,NA,NA
I_978053,I,978053,A_12_P104472,sqst-5,0.033336881872380854,3.77,1,NA,NA,NA,NA,NA,NA
I_994893,I,994893,A_12_P104472,sqst-5,0.033336881872380854,3.77,1,NA,NA,NA,NA,NA,NA
I_1007788,I,1007788,A_12_P104472,sqst-5,0.033336881872380854,3.77,1,NA,NA,NA,NA,NA,NA
I_1011098,I,1011098,A_12_P104472,sqst-5,0.033336881872380854,3.77,1,NA,NA,NA,NA,NA,NA
I_1013825,I,1013825,A_12_P104472,sqst-5,0.033336881872380854,3.77,1,NA,NA,NA,NA,NA,NA
I_1016361,I,1016361,A_12_P104472,sqst-5,0.033336881872380854,3.77,1,NA,NA,NA,NA,NA,NA
I_1017287,I,1017287,A_12_P104472,sqst-5,0.033336881872380854,3.77,1,NA,NA,NA,NA,NA,NA
I_1032796,I,1032796,A_12_P104472,sqst-5,0.033336881872380854,3.77,1,NA,NA,NA,NA,NA,NA
I_1036866,I,1036866,A_12_P104472,sqst-5,0.033336881872380854,3.77,1,NA,NA,NA,NA,NA,NA
I_1041272,I,1041272,A_12_P104472,sqst-5,0.011628167975984814,3.77,1,NA,NA,NA,NA,NA,NA
I_1041730,I,1041730,A_12_P104472,sqst-5,0.0463609081882605,3.77,1,NA,NA,NA,NA,NA,NA
I_1045634,I,1045634,A_12_P104472,sqst-5,0.053524786105716114,3.77,1,NA,NA,NA,NA,NA,NA
I_1047156,I,1047156,A_12_P104472,sqst-5,0.053524786105716114,3.77,1,NA,NA,NA,NA,NA,NA
I_1056644,I,1056644,A_12_P104472,sqst-5,0.053524786105716114,3.77,1,NA,NA,NA,NA,NA,NA
I_1058025,I,1058025,A_12_P104472,sqst-5,0.053524786105716114,3.77,1,NA,NA,NA,NA,NA,NA
I_1059713,I,1059713,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1062978,I,1062978,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1068572,I,1068572,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1071327,I,1071327,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1073324,I,1073324,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1076773,I,1076773,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1077159,I,1077159,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1080446,I,1080446,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1081807,I,1081807,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1082876,I,1082876,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1086901,I,1086901,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1090742,I,1090742,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1092278,I,1092278,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1095070,I,1095070,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1096109,I,1096109,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1101268,I,1101268,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1103446,I,1103446,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1103766,I,1103766,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1104862,I,1104862,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1105690,I,1105690,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1105738,I,1105738,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1106188,I,1106188,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1106565,I,1106565,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1106756,I,1106756,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1106769,I,1106769,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1107290,I,1107290,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1107620,I,1107620,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1107751,I,1107751,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1108196,I,1108196,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1108435,I,1108435,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1108849,I,1108849,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1109120,I,1109120,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1110038,I,1110038,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1110143,I,1110143,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1110587,I,1110587,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1110829,I,1110829,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1110891,I,1110891,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1111335,I,1111335,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1111822,I,1111822,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1111982,I,1111982,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1112236,I,1112236,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1113907,I,1113907,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1113918,I,1113918,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1115179,I,1115179,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1115294,I,1115294,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1115307,I,1115307,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1124971,I,1124971,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1126463,I,1126463,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1128647,I,1128647,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1135725,I,1135725,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1146993,I,1146993,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1156845,I,1156845,A_12_P104472,sqst-5,0.021261926133066995,3.77,1,NA,NA,NA,NA,NA,NA
I_1169919,I,1169919,A_12_P104472,sqst-5,0.0032283709830460226,3.77,1,NA,NA,NA,NA,NA,NA
I_1180974,I,1180974,A_12_P104472,sqst-5,0.0032283709830460226,3.77,1,NA,NA,NA,NA,NA,NA
I_1182448,I,1182448,A_12_P104472,sqst-5,0.0032283709830460226,3.77,1,NA,NA,NA,NA,NA,NA
I_1183342,I,1183342,A_12_P104472,sqst-5,0.0032283709830460226,3.77,1,NA,NA,NA,NA,NA,NA
I_1185402,I,1185402,A_12_P104472,sqst-5,0.007579762731971832,3.77,1,NA,NA,NA,NA,NA,NA
I_1187276,I,1187276,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1188668,I,1188668,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1195173,I,1195173,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1196470,I,1196470,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1196513,I,1196513,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1198263,I,1198263,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1199049,I,1199049,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1200447,I,1200447,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1200512,I,1200512,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1201793,I,1201793,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1210926,I,1210926,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1211692,I,1211692,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1213163,I,1213163,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1213450,I,1213450,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1213532,I,1213532,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1213625,I,1213625,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1214348,I,1214348,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1215000,I,1215000,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1221189,I,1221189,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1222416,I,1222416,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1227294,I,1227294,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1229032,I,1229032,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1231531,I,1231531,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1233395,I,1233395,A_12_P104472,sqst-5,0.0014192666565299846,3.77,1,NA,NA,NA,NA,NA,NA
I_1234526,I,1234526,A_12_P104472,sqst-5,0.002731306813775721,3.77,1,NA,NA,NA,NA,NA,NA
I_1237086,I,1237086,A_12_P104472,sqst-5,0.002731306813775721,3.77,1,NA,NA,NA,NA,NA,NA
I_1237844,I,1237844,A_12_P104472,sqst-5,0.002731306813775721,3.77,1,NA,NA,NA,NA,NA,NA
I_1237890,I,1237890,A_12_P104472,sqst-5,0.002731306813775721,3.77,1,NA,NA,NA,NA,NA,NA
I_1238141,I,1238141,A_12_P104472,sqst-5,0.002731306813775721,3.77,1,NA,NA,NA,NA,NA,NA
I_1248624,I,1248624,A_12_P104472,sqst-5,0.002731306813775721,3.77,1,NA,NA,NA,NA,NA,NA
I_1249364,I,1249364,A_12_P104472,sqst-5,0.0246527924049596,3.77,1,NA,NA,NA,NA,NA,NA
I_1253971,I,1253971,A_12_P104472,sqst-5,0.001712033624241121,3.77,1,NA,NA,NA,NA,NA,NA
I_1267574,I,1267574,A_12_P104472,sqst-5,0.001712033624241121,3.77,1,NA,NA,NA,NA,NA,NA
I_1269253,I,1269253,A_12_P104472,sqst-5,0.001712033624241121,3.77,1,NA,NA,NA,NA,NA,NA
I_1270428,I,1270428,A_12_P104472,sqst-5,0.001712033624241121,3.77,1,NA,NA,NA,NA,NA,NA
I_1273893,I,1273893,A_12_P104472,sqst-5,0.001712033624241121,3.77,1,NA,NA,NA,NA,NA,NA
I_1280348,I,1280348,A_12_P104472,sqst-5,0.007548839321711693,3.77,1,NA,NA,NA,NA,NA,NA
I_1281109,I,1281109,A_12_P104472,sqst-5,0.007548839321711693,3.77,1,NA,NA,NA,NA,NA,NA
I_1282314,I,1282314,A_12_P104472,sqst-5,0.0105038225884165,3.77,1,NA,NA,NA,NA,NA,NA
I_1288030,I,1288030,A_12_P104472,sqst-5,0.11116975474377669,3.77,1,NA,NA,NA,NA,NA,NA
I_1294610,I,1294610,A_12_P104472,sqst-5,0.11116975474377669,3.77,1,NA,NA,NA,NA,NA,NA
I_1296794,I,1296794,A_12_P104472,sqst-5,0.11116975474377669,3.77,1,NA,NA,NA,NA,NA,NA
I_1297082,I,1297082,A_12_P104472,sqst-5,0.11116975474377669,3.77,1,NA,NA,NA,NA,NA,NA
I_1302564,I,1302564,A_12_P104472,sqst-5,0.11116975474377669,3.77,1,NA,NA,NA,NA,NA,NA
I_1305437,I,1305437,A_12_P104472,sqst-5,0.11116975474377669,3.77,1,NA,NA,NA,NA,NA,NA
I_1315291,I,1315291,A_12_P104472,sqst-5,0.19023624532230257,3.77,1,NA,NA,NA,NA,NA,NA
I_1319456,I,1319456,A_12_P104472,sqst-5,0.19023624532230257,3.77,1,NA,NA,NA,NA,NA,NA
I_1323149,I,1323149,A_12_P104472,sqst-5,0.19023624532230257,3.77,1,NA,NA,NA,NA,NA,NA
I_1326154,I,1326154,A_12_P104472,sqst-5,0.19023624532230257,3.77,1,NA,NA,NA,NA,NA,NA
I_1345627,I,1345627,A_12_P104472,sqst-5,0.19023624532230257,3.77,1,NA,NA,NA,NA,NA,NA
I_1348421,I,1348421,A_12_P104472,sqst-5,0.2769585324660264,3.77,1,NA,NA,NA,NA,NA,NA
I_1349871,I,1349871,A_12_P104472,sqst-5,0.2769585324660264,3.77,1,NA,NA,NA,NA,NA,NA
I_1370806,I,1370806,A_12_P104472,sqst-5,0.2769585324660264,3.77,1,NA,NA,NA,NA,NA,NA
I_1377453,I,1377453,A_12_P104472,sqst-5,0.3990843624297343,3.77,1,NA,NA,NA,NA,NA,NA
I_1377549,I,1377549,A_12_P104472,sqst-5,0.3990843624297343,3.77,1,NA,NA,NA,NA,NA,NA
I_1381124,I,1381124,A_12_P104472,sqst-5,0.3990843624297343,3.77,1,NA,NA,NA,NA,NA,NA
I_1387757,I,1387757,A_12_P104472,sqst-5,0.3990843624297343,3.77,1,NA,NA,NA,NA,NA,NA
I_1388441,I,1388441,A_12_P104472,sqst-5,0.3990843624297343,3.77,1,NA,NA,NA,NA,NA,NA
I_1393874,I,1393874,A_12_P104472,sqst-5,0.3990843624297343,3.77,1,NA,NA,NA,NA,NA,NA
I_1395878,I,1395878,A_12_P104472,sqst-5,0.3990843624297343,3.77,1,NA,NA,NA,NA,NA,NA
I_1401681,I,1401681,A_12_P104472,sqst-5,0.3990843624297343,3.77,1,NA,NA,NA,NA,NA,NA
I_1403694,I,1403694,A_12_P104472,sqst-5,0.3990843624297343,3.77,1,NA,NA,NA,NA,NA,NA
I_1405907,I,1405907,A_12_P104472,sqst-5,0.3990843624297343,3.77,1,NA,NA,NA,NA,NA,NA
I_1419429,I,1419429,A_12_P104472,sqst-5,0.3990843624297343,3.77,1,NA,NA,NA,NA,NA,NA
I_1421474,I,1421474,A_12_P104472,sqst-5,0.35475490749251704,3.77,1,NA,NA,NA,NA,NA,NA
I_1421598,I,1421598,A_12_P104472,sqst-5,0.35475490749251704,3.77,1,NA,NA,NA,NA,NA,NA
I_1423022,I,1423022,A_12_P104472,sqst-5,0.35475490749251704,3.77,1,NA,NA,NA,NA,NA,NA
I_1423968,I,1423968,A_12_P104472,sqst-5,0.35475490749251704,3.77,1,NA,NA,NA,NA,NA,NA
I_1424395,I,1424395,A_12_P104472,sqst-5,0.35475490749251704,3.77,1,NA,NA,NA,NA,NA,NA
I_1427548,I,1427548,A_12_P104472,sqst-5,0.35475490749251704,3.77,1,NA,NA,NA,NA,NA,NA
I_1428538,I,1428538,A_12_P104472,sqst-5,0.35475490749251704,3.77,1,NA,NA,NA,NA,NA,NA
I_1432003,I,1432003,A_12_P104472,sqst-5,0.35475490749251704,3.77,1,NA,NA,NA,NA,NA,NA
I_1432662,I,1432662,A_12_P104472,sqst-5,0.35475490749251704,3.77,1,NA,NA,NA,NA,NA,NA
I_1439676,I,1439676,A_12_P104472,sqst-5,0.35475490749251704,3.77,1,NA,NA,NA,NA,NA,NA
I_1439691,I,1439691,A_12_P104472,sqst-5,0.35475490749251704,3.77,1,NA,NA,NA,NA,NA,NA
I_1451409,I,1451409,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1451570,I,1451570,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1458735,I,1458735,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1463479,I,1463479,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1464461,I,1464461,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1468649,I,1468649,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1472091,I,1472091,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1479698,I,1479698,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1489796,I,1489796,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1497898,I,1497898,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1504302,I,1504302,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1504824,I,1504824,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1505527,I,1505527,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1508520,I,1508520,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1516275,I,1516275,A_12_P104472,sqst-5,0.35637259404121796,3.77,1,NA,NA,NA,NA,NA,NA
I_1524356,I,1524356,A_12_P104472,sqst-5,0.35637259404121796,3.77,1,NA,NA,NA,NA,NA,NA
I_1527522,I,1527522,A_12_P104472,sqst-5,0.35637259404121796,3.77,1,NA,NA,NA,NA,NA,NA
I_1529135,I,1529135,A_12_P104472,sqst-5,0.35637259404121796,3.77,1,NA,NA,NA,NA,NA,NA
I_1529574,I,1529574,A_12_P104472,sqst-5,0.35637259404121796,3.77,1,NA,NA,NA,NA,NA,NA
I_1530424,I,1530424,A_12_P104472,sqst-5,0.35637259404121796,3.77,1,NA,NA,NA,NA,NA,NA
I_1533040,I,1533040,A_12_P104472,sqst-5,0.35637259404121796,3.77,1,NA,NA,NA,NA,NA,NA
I_1533876,I,1533876,A_12_P104472,sqst-5,0.35637259404121796,3.77,1,NA,NA,NA,NA,NA,NA
I_1541336,I,1541336,A_12_P104472,sqst-5,0.35637259404121796,3.77,1,NA,NA,NA,NA,NA,NA
I_1542277,I,1542277,A_12_P104472,sqst-5,0.35637259404121796,3.77,1,NA,NA,NA,NA,NA,NA
I_1544157,I,1544157,A_12_P104472,sqst-5,0.35637259404121796,3.77,1,NA,NA,NA,NA,NA,NA
I_1547779,I,1547779,A_12_P104472,sqst-5,0.35637259404121796,3.77,1,NA,NA,NA,NA,NA,NA
I_1549341,I,1549341,A_12_P104472,sqst-5,0.35637259404121796,3.77,1,NA,NA,NA,NA,NA,NA
I_1549969,I,1549969,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1552630,I,1552630,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1554967,I,1554967,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1568684,I,1568684,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1573863,I,1573863,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1581196,I,1581196,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1584563,I,1584563,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1586739,I,1586739,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1586901,I,1586901,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1587117,I,1587117,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1588888,I,1588888,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1590071,I,1590071,A_12_P104472,sqst-5,0.2610894979094915,3.77,1,NA,NA,NA,NA,NA,NA
I_1600696,I,1600696,A_12_P104472,sqst-5,0.37212903858330665,3.77,1,NA,NA,NA,NA,NA,NA
I_1601965,I,1601965,A_12_P104472,sqst-5,0.37212903858330665,3.77,1,NA,NA,NA,NA,NA,NA
