date,experiment,round,assay,plate,condition,control,strain,row,col,trait,phenotype
20170327,chrV,1,a,30,zinc,water,CB4856,F,2,median.TOF,-16.971428571428604
20170327,chrV,1,a,30,zinc,water,ECA437,F,5,median.TOF,-5.9714285714286035
20170327,chrV,1,a,30,zinc,water,N2,G,1,median.TOF,-0.47142857142860306
20170327,chrV,1,a,30,zinc,water,CB4856,G,2,median.TOF,-21.471428571428604
20170328,chrV,1,b,2,water,None,N2,A,1,median.TOF,6.18348623853211
20170328,chrV,1,b,2,water,None,ECA481,A,11,median.TOF,5.18348623853211
20170328,chrV,1,b,2,water,None,CB4856,A,2,median.TOF,9.18348623853211
20170328,chrV,1,b,2,water,None,ECA411,A,5,median.TOF,-17.81651376146789
20170328,chrV,1,b,2,water,None,ECA437,A,8,median.TOF,3.1834862385321103
20170328,chrV,1,b,2,water,None,N2,B,1,median.TOF,-2.8165137614678897
20170328,chrV,1,b,2,water,None,ECA481,B,11,median.TOF,-13.81651376146789
20170328,chrV,1,b,2,water,None,CB4856,B,2,median.TOF,-2.8165137614678897
20170328,chrV,1,b,2,water,None,ECA411,B,5,median.TOF,6.68348623853211
20170328,chrV,1,b,2,water,None,ECA437,B,8,median.TOF,6.68348623853211
20170328,chrV,1,b,2,water,None,N2,C,1,median.TOF,-13.31651376146789
20170328,chrV,1,b,2,water,None,ECA481,C,11,median.TOF,28.18348623853211
20170328,chrV,1,b,2,water,None,CB4856,C,2,median.TOF,29.18348623853211
20170328,chrV,1,b,2,water,None,ECA411,C,5,median.TOF,34.18348623853211
20170328,chrV,1,b,2,water,None,ECA437,C,8,median.TOF,24.68348623853211
20170328,chrV,1,b,2,water,None,ECA481,D,11,median.TOF,29.18348623853211
20170328,chrV,1,b,2,water,None,CB4856,D,2,median.TOF,34.18348623853211
20170328,chrV,1,b,2,water,None,ECA411,D,5,median.TOF,-15.81651376146789
20170328,chrV,1,b,2,water,None,N2,E,1,median.TOF,-3.8165137614678897
20170328,chrV,1,b,2,water,None,CB4856,E,2,median.TOF,4.18348623853211
20170328,chrV,1,b,2,water,None,N2,F,1,median.TOF,-5.81651376146789
20170328,chrV,1,b,2,water,None,ECA481,F,11,median.TOF,-8.31651376146789
20170328,chrV,1,b,2,water,None,ECA411,F,5,median.TOF,-25.81651376146789
20170328,chrV,1,b,2,water,None,ECA437,F,8,median.TOF,-6.81651376146789
20170328,chrV,1,b,2,water,None,N2,G,1,median.TOF,-31.31651376146789
20170328,chrV,1,b,2,water,None,CB4856,G,2,median.TOF,-3.3165137614678897
20170328,chrV,1,b,2,water,None,ECA411,G,5,median.TOF,-10.81651376146789
20170328,chrV,1,b,2,water,None,ECA437,G,8,median.TOF,27.18348623853211
20170328,chrV,1,b,6,zinc,water,N2,A,1,median.TOF,9.769230769230768
20170328,chrV,1,b,6,zinc,water,ECA481,A,11,median.TOF,14.769230769230768
20170328,chrV,1,b,6,zinc,water,CB4856,A,2,median.TOF,-8.230769230769232
20170328,chrV,1,b,6,zinc,water,ECA411,A,5,median.TOF,-6.230769230769231
20170328,chrV,1,b,6,zinc,water,ECA437,A,8,median.TOF,21.76923076923077
20170328,chrV,1,b,6,zinc,water,N2,B,1,median.TOF,3.769230769230769
20170328,chrV,1,b,6,zinc,water,CB4856,B,2,median.TOF,-11.230769230769232
20170328,chrV,1,b,6,zinc,water,ECA411,B,5,median.TOF,6.269230769230769
20170328,chrV,1,b,6,zinc,water,ECA437,B,8,median.TOF,-2.230769230769231
20170328,chrV,1,b,6,zinc,water,N2,C,1,median.TOF,12.769230769230768
20170328,chrV,1,b,6,zinc,water,ECA481,C,11,median.TOF,14.769230769230768
20170328,chrV,1,b,6,zinc,water,CB4856,C,2,median.TOF,-10.230769230769232
20170328,chrV,1,b,6,zinc,water,ECA411,C,5,median.TOF,5.769230769230769
20170328,chrV,1,b,6,zinc,water,ECA437,C,8,median.TOF,13.769230769230768
20170328,chrV,1,b,6,zinc,water,N2,D,1,median.TOF,-6.230769230769231
20170328,chrV,1,b,6,zinc,water,ECA481,D,11,median.TOF,6.769230769230769
20170328,chrV,1,b,6,zinc,water,ECA411,D,5,median.TOF,-6.230769230769231
20170328,chrV,1,b,6,zinc,water,ECA481,E,11,median.TOF,3.769230769230769
20170328,chrV,1,b,6,zinc,water,ECA411,E,5,median.TOF,-16.23076923076923
20170328,chrV,1,b,6,zinc,water,N2,F,1,median.TOF,-9.230769230769232
20170328,chrV,1,b,6,zinc,water,CB4856,F,2,median.TOF,-21.23076923076923
20170328,chrV,1,b,6,zinc,water,ECA411,F,5,median.TOF,6.769230769230769
20170328,chrV,1,b,6,zinc,water,CB4856,G,2,median.TOF,-26.23076923076923
20170328,chrV,1,b,6,zinc,water,ECA411,G,5,median.TOF,3.269230769230769
20170328,chrV,1,b,9,water,None,N2,A,1,median.TOF,-18.81651376146789
20170328,chrV,1,b,9,water,None,ECA481,A,11,median.TOF,-4.81651376146789
20170328,chrV,1,b,9,water,None,ECA411,A,5,median.TOF,2.6834862385321103
20170328,chrV,1,b,9,water,None,ECA437,A,8,median.TOF,14.18348623853211
20170328,chrV,1,b,9,water,None,N2,B,1,median.TOF,-28.81651376146789
20170328,chrV,1,b,9,water,None,ECA481,B,11,median.TOF,1.1834862385321103
20170328,chrV,1,b,9,water,None,CB4856,B,2,median.TOF,-11.81651376146789
20170328,chrV,1,b,9,water,None,ECA411,B,5,median.TOF,-2.8165137614678897
20170328,chrV,1,b,9,water,None,CB4856,C,2,median.TOF,16.18348623853211
20170328,chrV,1,b,9,water,None,ECA411,C,5,median.TOF,-12.81651376146789
20170328,chrV,1,b,9,water,None,N2,D,1,median.TOF,-21.31651376146789
20170328,chrV,1,b,9,water,None,ECA481,D,11,median.TOF,7.18348623853211
20170328,chrV,1,b,9,water,None,CB4856,D,2,median.TOF,-17.81651376146789
20170328,chrV,1,b,9,water,None,ECA411,D,5,median.TOF,-4.31651376146789
20170328,chrV,1,b,9,water,None,ECA481,E,11,median.TOF,30.18348623853211
20170328,chrV,1,b,9,water,None,ECA411,E,5,median.TOF,-7.81651376146789
20170328,chrV,1,b,9,water,None,ECA437,E,8,median.TOF,6.18348623853211
20170328,chrV,1,b,9,water,None,N2,F,1,median.TOF,-18.81651376146789
20170328,chrV,1,b,9,water,None,ECA481,F,11,median.TOF,-9.81651376146789
20170328,chrV,1,b,9,water,None,CB4856,F,2,median.TOF,19.18348623853211
20170328,chrV,1,b,9,water,None,ECA411,F,5,median.TOF,-3.3165137614678897
20170328,chrV,1,b,9,water,None,N2,G,1,median.TOF,20.18348623853211
20170328,chrV,1,b,9,water,None,CB4856,G,2,median.TOF,-11.81651376146789
20170328,chrV,1,b,9,water,None,ECA411,G,5,median.TOF,-32.81651376146789
20170328,chrV,1,b,12,zinc,water,N2,A,1,median.TOF,5.769230769230769
20170328,chrV,1,b,12,zinc,water,ECA481,A,11,median.TOF,10.769230769230768
20170328,chrV,1,b,12,zinc,water,CB4856,A,2,median.TOF,-15.730769230769232
20170328,chrV,1,b,12,zinc,water,ECA411,A,5,median.TOF,-0.23076923076923106
20170328,chrV,1,b,12,zinc,water,ECA437,A,8,median.TOF,-0.7307692307692311
20170328,chrV,1,b,12,zinc,water,N2,B,1,median.TOF,15.769230769230768
20170328,chrV,1,b,12,zinc,water,ECA481,B,11,median.TOF,7.769230769230769
20170328,chrV,1,b,12,zinc,water,CB4856,B,2,median.TOF,-9.230769230769232
20170328,chrV,1,b,12,zinc,water,ECA411,B,5,median.TOF,11.769230769230768
20170328,chrV,1,b,12,zinc,water,ECA437,B,8,median.TOF,16.76923076923077
20170328,chrV,1,b,12,zinc,water,N2,C,1,median.TOF,30.76923076923077
20170328,chrV,1,b,12,zinc,water,ECA481,C,11,median.TOF,-2.230769230769231
20170328,chrV,1,b,12,zinc,water,CB4856,C,2,median.TOF,-10.230769230769232
20170328,chrV,1,b,12,zinc,water,ECA411,C,5,median.TOF,-2.230769230769231
20170328,chrV,1,b,12,zinc,water,ECA437,C,8,median.TOF,0.26923076923076894
20170328,chrV,1,b,12,zinc,water,N2,D,1,median.TOF,17.76923076923077
20170328,chrV,1,b,12,zinc,water,ECA481,D,11,median.TOF,23.76923076923077
20170328,chrV,1,b,12,zinc,water,CB4856,D,2,median.TOF,-13.230769230769232
20170328,chrV,1,b,12,zinc,water,ECA411,D,5,median.TOF,9.269230769230768
20170328,chrV,1,b,12,zinc,water,ECA437,D,8,median.TOF,4.769230769230769
20170328,chrV,1,b,12,zinc,water,N2,E,1,median.TOF,19.76923076923077
20170328,chrV,1,b,12,zinc,water,CB4856,E,2,median.TOF,-14.230769230769232
20170328,chrV,1,b,12,zinc,water,ECA437,E,8,median.TOF,0.7692307692307689
20170328,chrV,1,b,12,zinc,water,N2,F,1,median.TOF,19.26923076923077
20170328,chrV,1,b,12,zinc,water,ECA481,F,11,median.TOF,16.26923076923077
20170328,chrV,1,b,12,zinc,water,CB4856,F,2,median.TOF,4.769230769230769
20170328,chrV,1,b,12,zinc,water,ECA411,F,5,median.TOF,-5.230769230769231
20170328,chrV,1,b,12,zinc,water,ECA437,F,8,median.TOF,9.769230769230768
20170328,chrV,1,b,12,zinc,water,ECA481,G,11,median.TOF,13.769230769230768
20170328,chrV,1,b,12,zinc,water,CB4856,G,2,median.TOF,-3.230769230769231
20170328,chrV,1,b,12,zinc,water,ECA411,G,5,median.TOF,-16.23076923076923
20170328,chrV,1,b,15,water,None,N2,A,1,median.TOF,16.18348623853211
20170328,chrV,1,b,15,water,None,ECA481,A,11,median.TOF,40.18348623853211
20170328,chrV,1,b,15,water,None,CB4856,A,2,median.TOF,18.18348623853211
20170328,chrV,1,b,15,water,None,ECA411,A,5,median.TOF,-6.31651376146789
20170328,chrV,1,b,15,water,None,ECA437,A,8,median.TOF,25.18348623853211
20170328,chrV,1,b,15,water,None,ECA481,B,11,median.TOF,13.18348623853211
20170328,chrV,1,b,15,water,None,CB4856,B,2,median.TOF,22.18348623853211
20170328,chrV,1,b,15,water,None,ECA411,B,5,median.TOF,1.1834862385321103
20170328,chrV,1,b,15,water,None,ECA437,B,8,median.TOF,17.18348623853211
20170328,chrV,1,b,15,water,None,ECA481,C,11,median.TOF,11.18348623853211
20170328,chrV,1,b,15,water,None,CB4856,C,2,median.TOF,3.1834862385321103
20170328,chrV,1,b,15,water,None,ECA411,C,5,median.TOF,-4.81651376146789
20170328,chrV,1,b,15,water,None,N2,D,1,median.TOF,6.18348623853211
20170328,chrV,1,b,15,water,None,CB4856,D,2,median.TOF,22.68348623853211
20170328,chrV,1,b,15,water,None,N2,E,1,median.TOF,-17.81651376146789
20170328,chrV,1,b,15,water,None,ECA481,E,11,median.TOF,34.18348623853211
20170328,chrV,1,b,15,water,None,N2,F,1,median.TOF,11.18348623853211
20170328,chrV,1,b,15,water,None,ECA411,F,5,median.TOF,11.18348623853211
20170328,chrV,1,b,15,water,None,ECA481,G,11,median.TOF,12.18348623853211
20170328,chrV,1,b,15,water,None,ECA411,G,5,median.TOF,17.18348623853211
20170328,chrV,1,b,18,zinc,water,N2,A,1,median.TOF,20.76923076923077
20170328,chrV,1,b,18,zinc,water,ECA481,A,11,median.TOF,14.769230769230768
20170328,chrV,1,b,18,zinc,water,CB4856,A,2,median.TOF,-25.23076923076923
20170328,chrV,1,b,18,zinc,water,ECA411,A,5,median.TOF,-6.230769230769231
20170328,chrV,1,b,18,zinc,water,ECA437,A,8,median.TOF,11.769230769230768
20170328,chrV,1,b,18,zinc,water,N2,B,1,median.TOF,9.769230769230768
20170328,chrV,1,b,18,zinc,water,ECA481,B,11,median.TOF,3.769230769230769
20170328,chrV,1,b,18,zinc,water,CB4856,B,2,median.TOF,0.7692307692307689
20170328,chrV,1,b,18,zinc,water,ECA411,B,5,median.TOF,1.769230769230769
20170328,chrV,1,b,18,zinc,water,ECA437,B,8,median.TOF,-1.230769230769231
20170328,chrV,1,b,18,zinc,water,N2,C,1,median.TOF,9.769230769230768
20170328,chrV,1,b,18,zinc,water,ECA481,C,11,median.TOF,12.769230769230768
20170328,chrV,1,b,18,zinc,water,CB4856,C,2,median.TOF,-10.230769230769232
20170328,chrV,1,b,18,zinc,water,ECA411,C,5,median.TOF,0.7692307692307689
20170328,chrV,1,b,18,zinc,water,ECA437,C,8,median.TOF,-16.23076923076923
20170328,chrV,1,b,18,zinc,water,N2,D,1,median.TOF,23.76923076923077
20170328,chrV,1,b,18,zinc,water,ECA481,D,11,median.TOF,1.769230769230769
20170328,chrV,1,b,18,zinc,water,CB4856,D,2,median.TOF,-16.23076923076923
20170328,chrV,1,b,18,zinc,water,ECA411,D,5,median.TOF,3.769230769230769
20170328,chrV,1,b,18,zinc,water,ECA437,D,8,median.TOF,-3.230769230769231
20170328,chrV,1,b,18,zinc,water,N2,E,1,median.TOF,24.76923076923077
20170328,chrV,1,b,18,zinc,water,CB4856,E,2,median.TOF,-21.73076923076923
20170328,chrV,1,b,18,zinc,water,ECA411,E,5,median.TOF,-9.230769230769232
20170328,chrV,1,b,18,zinc,water,ECA437,E,8,median.TOF,0.7692307692307689
20170328,chrV,1,b,18,zinc,water,ECA481,F,11,median.TOF,10.269230769230768
20170328,chrV,1,b,18,zinc,water,ECA411,F,5,median.TOF,11.769230769230768
20170328,chrV,1,b,18,zinc,water,ECA437,F,8,median.TOF,-19.23076923076923
20170328,chrV,1,b,18,zinc,water,N2,G,1,median.TOF,23.26923076923077
20170328,chrV,1,b,18,zinc,water,ECA481,G,11,median.TOF,9.769230769230768
20170328,chrV,1,b,18,zinc,water,CB4856,G,2,median.TOF,-25.23076923076923
20170328,chrV,1,b,18,zinc,water,ECA411,G,5,median.TOF,-19.23076923076923
20170328,chrV,1,b,18,zinc,water,ECA437,G,8,median.TOF,19.76923076923077
20170328,chrV,1,b,23,water,None,N2,A,1,median.TOF,-25.81651376146789
20170328,chrV,1,b,23,water,None,ECA481,A,11,median.TOF,-11.81651376146789
20170328,chrV,1,b,23,water,None,CB4856,A,2,median.TOF,34.18348623853211
20170328,chrV,1,b,23,water,None,ECA411,A,5,median.TOF,-17.81651376146789
20170328,chrV,1,b,23,water,None,N2,B,1,median.TOF,-15.31651376146789
20170328,chrV,1,b,23,water,None,ECA481,B,11,median.TOF,-7.81651376146789
20170328,chrV,1,b,23,water,None,ECA411,B,5,median.TOF,-7.81651376146789
20170328,chrV,1,b,23,water,None,ECA437,B,8,median.TOF,-18.81651376146789
20170328,chrV,1,b,23,water,None,N2,C,1,median.TOF,-22.31651376146789
20170328,chrV,1,b,23,water,None,ECA481,C,11,median.TOF,-3.3165137614678897
20170328,chrV,1,b,23,water,None,CB4856,C,2,median.TOF,23.68348623853211
20170328,chrV,1,b,23,water,None,ECA411,C,5,median.TOF,-9.81651376146789
20170328,chrV,1,b,23,water,None,ECA437,C,8,median.TOF,-5.81651376146789
20170328,chrV,1,b,23,water,None,N2,D,1,median.TOF,-1.8165137614678897
20170328,chrV,1,b,23,water,None,ECA481,D,11,median.TOF,23.18348623853211
20170328,chrV,1,b,23,water,None,CB4856,D,2,median.TOF,-10.81651376146789
20170328,chrV,1,b,23,water,None,ECA411,D,5,median.TOF,5.18348623853211
20170328,chrV,1,b,23,water,None,ECA437,D,8,median.TOF,-3.8165137614678897
20170328,chrV,1,b,23,water,None,ECA481,E,11,median.TOF,4.18348623853211
20170328,chrV,1,b,23,water,None,CB4856,E,2,median.TOF,-0.8165137614678898
20170328,chrV,1,b,23,water,None,ECA437,E,8,median.TOF,-14.81651376146789
20170328,chrV,1,b,23,water,None,ECA481,F,11,median.TOF,-9.31651376146789
20170328,chrV,1,b,23,water,None,CB4856,F,2,median.TOF,-3.8165137614678897
20170328,chrV,1,b,23,water,None,ECA411,F,5,median.TOF,-49.81651376146789
20170328,chrV,1,b,23,water,None,ECA437,F,8,median.TOF,9.18348623853211
20170328,chrV,1,b,23,water,None,N2,G,1,median.TOF,-25.81651376146789
20170328,chrV,1,b,23,water,None,ECA481,G,11,median.TOF,-5.81651376146789
20170328,chrV,1,b,23,water,None,CB4856,G,2,median.TOF,17.18348623853211
20170328,chrV,1,b,23,water,None,ECA411,G,5,median.TOF,-32.81651376146789
20170328,chrV,1,b,23,water,None,ECA437,G,8,median.TOF,-4.81651376146789
20170328,chrV,1,b,25,zinc,water,N2,A,1,median.TOF,-4.230769230769231
20170328,chrV,1,b,25,zinc,water,ECA481,A,11,median.TOF,-0.7307692307692311
20170328,chrV,1,b,25,zinc,water,CB4856,A,2,median.TOF,-2.230769230769231
20170328,chrV,1,b,25,zinc,water,ECA411,A,5,median.TOF,-11.230769230769232
20170328,chrV,1,b,25,zinc,water,ECA437,A,8,median.TOF,1.769230769230769
20170328,chrV,1,b,25,zinc,water,N2,B,1,median.TOF,8.769230769230768
20170328,chrV,1,b,25,zinc,water,ECA481,B,11,median.TOF,11.769230769230768
20170328,chrV,1,b,25,zinc,water,CB4856,B,2,median.TOF,-30.23076923076923
20170328,chrV,1,b,25,zinc,water,ECA411,B,5,median.TOF,-1.230769230769231
20170328,chrV,1,b,25,zinc,water,ECA437,B,8,median.TOF,5.769230769230769
20170328,chrV,1,b,25,zinc,water,N2,C,1,median.TOF,8.769230769230768
20170328,chrV,1,b,25,zinc,water,ECA481,C,11,median.TOF,1.769230769230769
20170328,chrV,1,b,25,zinc,water,CB4856,C,2,median.TOF,-0.23076923076923106
20170328,chrV,1,b,25,zinc,water,ECA411,C,5,median.TOF,-9.730769230769232
20170328,chrV,1,b,25,zinc,water,ECA437,C,8,median.TOF,2.769230769230769
20170328,chrV,1,b,25,zinc,water,N2,D,1,median.TOF,3.269230769230769
20170328,chrV,1,b,25,zinc,water,ECA481,D,11,median.TOF,1.769230769230769
20170328,chrV,1,b,25,zinc,water,CB4856,D,2,median.TOF,-19.23076923076923
